OBJECTID,FACILITYID,READERID,Latitude,Longitude,Region
1,460,bhurst-mill,43.87320889945075,-79.46450109648323,richmond-hill
2,464,aur-yng-mrk,44.00411957367128,-79.46866154564181,aurora
3,468,v-hwy7-intchng,43.792703131836376,-79.53096479545334,vaughan
4,113,mccowan-14th,43.84923346082238,-79.27967336841644,markham
5,115,14th-birchmount,43.839835990048904,-79.32035015164946,markham
6,119,woodbine-14th,43.83166810171107,-79.35336747728594,markham
7,120,dufferin-centre,43.80563683079292,-79.47459679665036,vaughan
8,283,majormackenzie-ilanramon,43.864829429444875,-79.46848429142908,vaughan
9,546,kennedy-unionvillegate,43.856122664760846,-79.30521738060607,markham
10,548,gorham_water-prospect,44.05161756029349,-79.45324451878473,newmarket
11,552,mountalbert-warden,44.11321851477212,-79.39225338126056,east-gwillimbury
12,553,woodbine-mtalbert,44.107694090295084,-79.41679416465024,east-gwillimbury
13,554,16th-dufferin,43.8426408928232,-79.48307336922193,vaughan
14,560,kennedy-buroak,43.88843842027187,-79.31658858683404,markham
15,287,highway7-wootenway,43.87786770934231,-79.24325460293272,markham
16,289,leslie-stonehaven_veteransway,44.03738175674909,-79.42511430692451,newmarket
17,290,leslie-statefarmway,44.01596130146643,-79.41988848664542,aurora
18,291,leslie-princeton_viarenzo,43.88993606598461,-79.39372032590592,richmond-hill
19,293,leslie-headford_orlando,43.86939307738049,-79.38849925721699,richmond-hill
20,295,leslie-wilmot,43.852733529604976,-79.38444428566976,richmond-hill
21,441,jane-mcintosh_pennsylvania,43.80322377687338,-79.5264266180355,vaughan
22,447,woodbine-404nb,44.19138285143025,-79.4378492337223,east-gwillimbury
23,451,majormackenzie-ninthline,43.91555708048814,-79.24407798681813,markham
24,72,bhurst-carville/ruthfrd,43.84769550930684,-79.45867133087391,vaughan
25,70,16th-yonge,43.85305010559109,-79.43304633780586,richmond-hill
26,71,16th-avenue,43.85046347430544,-79.44542539667147,richmond-hill
27,74,16th-thornhill/thomas,43.84528915301929,-79.47026442590065,vaughan
28,76,woodbine-church,44.247958593957804,-79.45215797574278,georgina
29,79,woodbine-biscayne,44.22519074734822,-79.44654457829121,georgina
30,80,woodbine-glenwoods,44.2168094598762,-79.44440352736525,georgina
31,81,woodbine-hillmount_rodick,43.87678042502506,-79.36493573635524,markham
32,307,kennedy-aurora,44.02712960288945,-79.34593607687155,whitchurch-stouffville
33,308,aurora-warden,44.02167450805695,-79.36979949568902,whitchurch-stouffville
34,309,woodbine-aurora,44.016066728782405,-79.39526207983536,whitchurch-stouffville
35,503,16th-400nb,43.82865498702392,-79.54287379212685,vaughan
36,500,16th-jane,43.830911654754345,-79.53269245865647,vaughan
37,506,aur-stjsr-pkw,44.02011465991084,-79.46245180012282,aurora
38,507,aur-yng-stjsr,44.01800102999598,-79.47192604145076,aurora
39,508,stjohnssdrd-bathurst,44.012546201833686,-79.49840854740208,aurora
40,509,dufferin-15thsdrd,43.95218494032932,-79.50923217804915,king-township
41,87,woodbine-oldhomestead,44.25528907938864,-79.45401575406673,georgina
42,88,metro-simcoe,44.24110807866672,-79.47462017671357,georgina
