origin_id,dest_id,origin_roadway,origin_cross_street,origin_direction,dest_roadway,dest_cross_street,dest_direction,segment_length_kilometers,timestamp,travel_time,speed_kph,summary_samples,origin_region,dest_region,origin_OBJECTID,dest_OBJECTID
bathurst-humberland,bathurst-bloomington,bathurst,humberland,northbound,bathurst,bloomington-rd,northbound,0.75,2023-04-14_00:30:10,33,82,1,richmond-hill,aurora,275,291
bathurst-bloomington,bloomington-bloomfieldtrail,bloomington-rd,bathurst-st,eastbound,bloomington-rd,bloomfield-trail,eastbound,1.2,2023-04-14_00:30:10,64,68,1,aurora,richmond-hill,291,288
leslie-wellington,leslie-statefarmway,leslie,wellington-st,northbound,leslie,state-farm-way,northbound,0.6,2023-04-14_00:30:10,38,57,4,aurora,aurora,119,17
aur-stjsr-pkw,aur-yng-stjsr,st-john-sdrd,industrial-parkway,westbound,st-john-sdrd,yonge-st,westbound,0.792,2023-04-14_00:30:10,66,43,3,aurora,aurora,37,38
aurora-404sb,leslie-wellington,wellington-st,404sb-offramp,westbound,wellington-st,leslie-st,westbound,0.85,2023-04-14_00:30:10,35,87,3,aurora,aurora,324,119
aurora-404nb,aurora-404sb,aurora-rd,404nb-offramp,westbound,aurora-rd,404sb-offramp,westbound,0.37,2023-04-14_00:40:10,41,32,1,whitchurch-stouffville,aurora,325,324
bathurst-humberland,bathurst-bloomington,bathurst,humberland,northbound,bathurst,bloomington-rd,northbound,0.75,2023-04-14_00:40:10,39,69,1,richmond-hill,aurora,275,291
bayview-bloomington,bayview-vandorf,bayview,bloomington-rd,northbound,bayview,vandorf-sdrd,northbound,2.1,2023-04-14_00:40:10,127,60,2,richmond-hill,aurora,112,203
bathurst-bloomington,bloomington-bloomfieldtrail,bloomington-rd,bathurst-st,eastbound,bloomington-rd,bloomfield-trail,eastbound,1.2,2023-04-14_00:40:10,64,68,1,aurora,richmond-hill,291,288
leslie-wellington,leslie-statefarmway,leslie,wellington-st,northbound,leslie,state-farm-way,northbound,0.6,2023-04-14_00:40:10,35,62,2,aurora,aurora,119,17
aur-yng-stjsr,aur-stjsr-pkw,st-john-sdrd,yonge-st,eastbound,st-john-sdrd,industrial-parkway,eastbound,0.792,2023-04-14_00:40:10,45,63,1,aurora,aurora,38,37
aur-stjsr-pkw,aur-yng-stjsr,st-john-sdrd,industrial-parkway,westbound,st-john-sdrd,yonge-st,westbound,0.792,2023-04-14_00:40:10,76,38,3,aurora,aurora,37,38
aurora-404sb,leslie-wellington,wellington-st,404sb-offramp,westbound,wellington-st,leslie-st,westbound,0.85,2023-04-14_00:40:10,37,83,2,aurora,aurora,324,119
aurora-404nb,aurora-404sb,aurora-rd,404nb-offramp,westbound,aurora-rd,404sb-offramp,westbound,0.37,2023-04-14_00:55:09,53,25,1,whitchurch-stouffville,aurora,325,324
bloomington-bloomfieldtrail,bathurst-bloomington,bloomington-rd,bloomfield-trail,westbound,bloomington-rd,bathurst-st,westbound,1.2,2023-04-14_00:55:09,67,64,1,richmond-hill,aurora,288,291
aur-yng-stjsr,aur-stjsr-pkw,st-john-sdrd,yonge-st,eastbound,st-john-sdrd,industrial-parkway,eastbound,0.792,2023-04-14_00:55:09,57,50,1,aurora,aurora,38,37
aurora-404sb,leslie-wellington,wellington-st,404sb-offramp,westbound,wellington-st,leslie-st,westbound,0.85,2023-04-14_00:55:09,38,81,1,aurora,aurora,324,119
leslie-wellington,wellington-mavrinac_stronach,wellington-st,leslie-st,westbound,wellington-st,mavrinac-blvd/stronach-blvd,westbound,1.23,2023-04-14_00:55:09,64,69,1,aurora,aurora,119,366
dufferin-15thsdrd,bathurst-bloomington,15th-sdrd,dufferin-st,eastbound,15th-sdrd,bathurst-st,eastbound,2.0,2023-04-14_09:14:49,142,51,1,king-township,aurora,40,291
