origin_id,dest_id,origin_roadway,origin_cross_street,origin_direction,dest_roadway,dest_cross_street,dest_direction,segment_length_kilometers,timestamp,travel_time,speed_kph,summary_samples,origin_region,dest_region,origin_OBJECTID,dest_OBJECTID
yonge-greenlane,greenlane-2ndconcession,green-lane,yonge-st,eastbound,green-lane,2nd-concession,eastbound,2.1,2023-04-14_00:30:10,152,50,2,east-gwillimbury,east-gwillimbury,247,248
greenlane-2ndconcession,leslie-greenlanee_herald,green-lane,2nd-concession,eastbound,green-lane,leslie-st,eastbound,2.0,2023-04-14_00:30:10,119,61,2,east-gwillimbury,east-gwillimbury,248,127
greenlane-404sb,leslie-greenlanee_herald,green-lane,404sb-offramp,westbound,green-lane,leslie-st,westbound,0.9,2023-04-14_00:30:10,44,74,2,east-gwillimbury,east-gwillimbury,341,127
greenlane-404nb,greenlane-404sb,green-lane,404nb-offramp,westbound,green-lane,404sb-offramp,westbound,0.4,2023-04-14_00:30:10,45,32,1,east-gwillimbury,east-gwillimbury,339,341
greenlane-404sb,greenlane-harrywalker,green-lane,404sb-offramp,westbound,green-lane,harry-walker-pkwy,westbound,0.4,2023-04-14_00:30:10,29,50,2,east-gwillimbury,east-gwillimbury,341,396
greenlane-2ndconcession,yonge-greenlane,green-lane,2nd-concession,westbound,green-lane,yonge-st,westbound,2.1,2023-04-14_00:30:10,122,62,4,east-gwillimbury,east-gwillimbury,248,247
leslie-greenlanee_herald,greenlane-2ndconcession,green-lane,leslie-st,westbound,green-lane,2nd-concession,westbound,2.0,2023-04-14_00:30:10,136,53,1,east-gwillimbury,east-gwillimbury,127,248
highway11_yonge-morningsdrd_yonge,highway11-bathurst,highway-11,morning-sdrd,northbound,highway-11,bathurst,northbound,3.7,2023-04-14_00:30:10,157,85,2,east-gwillimbury,east-gwillimbury,287,303
hwy11-sherwood,highway11-bathurst,highway-11,sherwood-glen,northbound,highway-11,bathurst,northbound,2.2,2023-04-14_00:30:10,103,77,3,east-gwillimbury,east-gwillimbury,422,303
highway11_yonge-morningsdrd_yonge,hwy11-sherwood,highway-11,morning-sdrd,northbound,highway-11,sherwood-glen,northbound,1.5,2023-04-14_00:30:10,72,75,3,east-gwillimbury,east-gwillimbury,287,422
highway11-bathurst,hwy11-sherwood,highway-11,bathurst,southbound,highway-11,sherwood-glen,southbound,2.2,2023-04-14_00:30:10,117,68,1,east-gwillimbury,east-gwillimbury,303,422
woodbine-404nb,woodbine-ravenshoe,woodbine,404nb-offramp,northbound,woodbine,ravenshoe-rd,northbound,0.8,2023-04-14_00:30:10,73,39,2,east-gwillimbury,east-gwillimbury,22,155
yonge-greenlane,highway11_yonge-morningsdrd_yonge,yonge-st,green-lane,northbound,yonge-st,morning-sdrd,northbound,1.1,2023-04-14_00:30:10,58,68,1,east-gwillimbury,east-gwillimbury,247,287
yonge-greenlane,yonge-bonshaw_london,yonge-st,green-lane,southbound,yonge-st,bonshaw/london-rd,southbound,0.957,2023-04-14_00:30:10,84,41,2,east-gwillimbury,newmarket,247,49
greenlane-404sb,leslie-greenlanee_herald,green-lane,404sb-offramp,westbound,green-lane,leslie-st,westbound,0.9,2023-04-14_00:40:10,48,68,4,east-gwillimbury,east-gwillimbury,341,127
greenlane-404nb,greenlane-404sb,green-lane,404nb-offramp,westbound,green-lane,404sb-offramp,westbound,0.4,2023-04-14_00:40:10,25,58,2,east-gwillimbury,east-gwillimbury,339,341
greenlane-harrywalker,leslie-greenlanee_herald,green-lane,harry-walker-pkwy,westbound,green-lane,leslie-st,westbound,0.5,2023-04-14_00:40:10,23,78,3,east-gwillimbury,east-gwillimbury,396,127
greenlane-404sb,greenlane-harrywalker,green-lane,404sb-offramp,westbound,green-lane,harry-walker-pkwy,westbound,0.4,2023-04-14_00:40:10,26,55,3,east-gwillimbury,east-gwillimbury,341,396
greenlane-2ndconcession,yonge-greenlane,green-lane,2nd-concession,westbound,green-lane,yonge-st,westbound,2.1,2023-04-14_00:40:10,134,56,1,east-gwillimbury,east-gwillimbury,248,247
leslie-greenlanee_herald,greenlane-2ndconcession,green-lane,leslie-st,westbound,green-lane,2nd-concession,westbound,2.0,2023-04-14_00:40:10,125,58,1,east-gwillimbury,east-gwillimbury,127,248
woodbine-404nb,woodbine-ravenshoe,woodbine,404nb-offramp,northbound,woodbine,ravenshoe-rd,northbound,0.8,2023-04-14_00:40:10,79,36,2,east-gwillimbury,east-gwillimbury,22,155
