origin_id,dest_id,origin_roadway,origin_cross_street,origin_direction,dest_roadway,dest_cross_street,dest_direction,segment_length_kilometers,timestamp,travel_time,speed_kph,summary_samples,origin_region,dest_region,origin_OBJECTID,dest_OBJECTID
woodbine-baseline,dalton-high,baseline-rd,woodbine,eastbound,baseline-rd,high-st,eastbound,8.3,2023-04-14_09:14:49,415,72,1,georgina,georgina,431,394
highway48-highst,dalton-high,high-st,highway-48,northbound,high-st,dalton-st,northbound,1.2,2023-04-14_09:14:49,117,37,1,georgina,georgina,166,394
highway48-ravenshoe,highway48-highst,highway-48,ravenshoe-rd,northbound,highway-48,high-st,northbound,8.8,2023-04-14_09:14:49,403,79,3,east-gwillimbury,georgina,274,166
highway48-highst,highway48-ravenshoe,highway-48,high-st,southbound,highway-48,ravenshoe-rd,southbound,8.8,2023-04-14_09:14:49,399,79,2,georgina,east-gwillimbury,166,274
queensway-metro_morton,metro-simcoe,metro-rd,metro_morton,northbound,metro-rd,simcoe-ave,northbound,1.1,2023-04-14_09:14:49,85,47,2,georgina,georgina,91,42
metro-simcoe,queensway-metro_morton,metro-rd,simcoe-ave,southbound,metro-rd,metro_morton,southbound,1.1,2023-04-14_09:14:49,100,40,4,georgina,georgina,42,91
queensway-metro_morton,woodbine-morton_pollock,morton-ave,queensway,eastbound,morton-ave,woodbine-ave,eastbound,1.3,2023-04-14_09:14:49,92,51,1,georgina,georgina,91,46
woodbine-morton_pollock,queensway-metro_morton,morton-ave,woodbine-ave,westbound,morton-ave,queensway,westbound,1.3,2023-04-14_09:14:49,103,45,1,georgina,georgina,46,91
queensway-glenwoods,queensway-metro_morton,queensway,glenwoods-ave,northbound,queensway,metro_morton,northbound,2.4,2023-04-14_09:14:49,237,36,6,georgina,georgina,189,91
queensway-glenwoods,leslie-ravenshoe,queensway,glenwoods-ave,southbound,queensway,ravenshoe-rd,southbound,2.2,2023-04-14_09:14:49,107,74,1,georgina,east-gwillimbury,189,156
queensway-metro_morton,queensway-glenwoods,queensway,metro_morton,southbound,queensway,glenwoods-ave,southbound,2.4,2023-04-14_09:14:49,142,61,1,georgina,georgina,91,189
highway48-ravenshoe,ravenshoe-victoria,ravenshoe-rd,highway-48,eastbound,ravenshoe-rd,victoria-rd,eastbound,12.8,2023-04-14_09:14:49,603,76,1,east-gwillimbury,georgina,274,432
ravenshoe-victoria,highway48-ravenshoe,ravenshoe-rd,victoria-rd,westbound,ravenshoe-rd,highway-48,westbound,12.8,2023-04-14_09:14:49,611,75,1,georgina,east-gwillimbury,432,274
woodbine-oldhomestead,woodbine-baseline,woodbine,old-homestead-rd,northbound,woodbine,baseline-rd,northbound,3.0,2023-04-14_09:14:49,136,79,3,georgina,georgina,41,431
woodbine-ravenshoe,woodbine-glenwoods,woodbine,ravenshoe-rd,northbound,woodbine,glenwoods-ave,northbound,2.0,2023-04-14_09:14:49,123,59,6,east-gwillimbury,georgina,155,30
woodbine-glenwoods,woodbine-biscayne,woodbine,glenwoods-ave,northbound,woodbine,biscayne-blvd,northbound,0.9,2023-04-14_09:14:49,85,38,2,georgina,georgina,30,29
woodbine-biscayne,woodbine-morton_pollock,woodbine,biscayne-blvd,northbound,woodbine,morton-ave,northbound,1.3,2023-04-14_09:14:49,99,47,4,georgina,georgina,29,46
woodbine-morton_pollock,woodbine-church,woodbine,morton-ave,northbound,woodbine,church-st,northbound,1.2,2023-04-14_09:14:49,77,56,4,georgina,georgina,46,28
woodbine-church,woodbine-oldhomestead,woodbine,church-st,northbound,woodbine,old-homestead-rd,northbound,0.9,2023-04-14_09:14:49,45,72,5,georgina,georgina,28,41
woodbine-baseline,woodbine-oldhomestead,woodbine,baseline-rd,southbound,woodbine,old-homestead-rd,southbound,3.0,2023-04-14_09:14:49,134,81,1,georgina,georgina,431,41
woodbine-glenwoods,woodbine-ravenshoe,woodbine,glenwoods-ave,southbound,woodbine,ravenshoe-rd,southbound,2.0,2023-04-14_09:14:49,111,65,5,georgina,east-gwillimbury,30,155
woodbine-biscayne,woodbine-glenwoods,woodbine,biscayne-blvd,southbound,woodbine,glenwoods-ave,southbound,0.9,2023-04-14_09:14:49,59,55,7,georgina,georgina,29,30
woodbine-morton_pollock,woodbine-biscayne,woodbine,morton-ave,southbound,woodbine,biscayne-blvd,southbound,1.3,2023-04-14_09:14:49,93,50,6,georgina,georgina,46,29
woodbine-church,woodbine-morton_pollock,woodbine,church-st,southbound,woodbine,morton-ave,southbound,1.2,2023-04-14_09:14:49,86,50,8,georgina,georgina,28,46
woodbine-oldhomestead,woodbine-church,woodbine,old-homestead-rd,southbound,woodbine,church-st,southbound,0.9,2023-04-14_09:14:49,44,74,6,georgina,georgina,41,28
dalton-high,woodbine-baseline,baseline-rd,high-st,westbound,baseline-rd,woodbine,westbound,8.3,2023-04-14_09:29:48,426,70,1,georgina,georgina,394,431
highway48-highst,dalton-high,high-st,highway-48,northbound,high-st,dalton-st,northbound,1.2,2023-04-14_09:29:48,125,35,1,georgina,georgina,166,394
dalton-high,highway48-highst,high-st,dalton-st,southbound,high-st,highway-48,southbound,1.2,2023-04-14_09:29:48,102,42,1,georgina,georgina,394,166
highway48-ravenshoe,highway48-highst,highway-48,ravenshoe-rd,northbound,highway-48,high-st,northbound,8.8,2023-04-14_09:29:48,410,77,4,east-gwillimbury,georgina,274,166
highway48-highst,highway48-ravenshoe,highway-48,high-st,southbound,highway-48,ravenshoe-rd,southbound,8.8,2023-04-14_09:29:48,380,83,5,georgina,east-gwillimbury,166,274
metro-simcoe,queensway-metro_morton,metro-rd,simcoe-ave,southbound,metro-rd,metro_morton,southbound,1.1,2023-04-14_09:29:48,85,47,2,georgina,georgina,42,91
queensway-metro_morton,woodbine-morton_pollock,morton-ave,queensway,eastbound,morton-ave,woodbine-ave,eastbound,1.3,2023-04-14_09:29:48,84,56,2,georgina,georgina,91,46
leslie-ravenshoe,queensway-glenwoods,queensway,ravenshoe-rd,northbound,queensway,glenwoods-ave,northbound,2.2,2023-04-14_09:29:48,146,54,3,east-gwillimbury,georgina,156,189
queensway-glenwoods,leslie-ravenshoe,queensway,glenwoods-ave,southbound,queensway,ravenshoe-rd,southbound,2.2,2023-04-14_09:29:48,144,55,3,georgina,east-gwillimbury,189,156
woodbine-ravenshoe,woodbine-glenwoods,woodbine,ravenshoe-rd,northbound,woodbine,glenwoods-ave,northbound,2.0,2023-04-14_09:29:48,113,64,5,east-gwillimbury,georgina,155,30
woodbine-glenwoods,woodbine-biscayne,woodbine,glenwoods-ave,northbound,woodbine,biscayne-blvd,northbound,0.9,2023-04-14_09:29:48,62,52,1,georgina,georgina,30,29
woodbine-biscayne,woodbine-morton_pollock,woodbine,biscayne-blvd,northbound,woodbine,morton-ave,northbound,1.3,2023-04-14_09:29:48,93,50,3,georgina,georgina,29,46
woodbine-morton_pollock,woodbine-church,woodbine,morton-ave,northbound,woodbine,church-st,northbound,1.2,2023-04-14_09:29:48,60,72,2,georgina,georgina,46,28
woodbine-church,woodbine-oldhomestead,woodbine,church-st,northbound,woodbine,old-homestead-rd,northbound,0.9,2023-04-14_09:29:48,37,88,2,georgina,georgina,28,41
woodbine-baseline,woodbine-oldhomestead,woodbine,baseline-rd,southbound,woodbine,old-homestead-rd,southbound,3.0,2023-04-14_09:29:48,131,82,1,georgina,georgina,431,41
woodbine-glenwoods,woodbine-ravenshoe,woodbine,glenwoods-ave,southbound,woodbine,ravenshoe-rd,southbound,2.0,2023-04-14_09:29:48,110,65,11,georgina,east-gwillimbury,30,155
woodbine-biscayne,woodbine-glenwoods,woodbine,biscayne-blvd,southbound,woodbine,glenwoods-ave,southbound,0.9,2023-04-14_09:29:48,62,52,8,georgina,georgina,29,30
