origin_id,dest_id,origin_roadway,origin_cross_street,origin_direction,dest_roadway,dest_cross_street,dest_direction,segment_length_kilometers,timestamp,travel_time,speed_kph,summary_samples,origin_region,dest_region,origin_OBJECTID,dest_OBJECTID
bathurst-kingvaughan,bathurst-kingshill,bathurst,king-vaughan-rd,northbound,bathurst,kingshill,northbound,1.2,2023-04-14_00:30:10,50,86,1,richmond-hill,king-township,256,293
bathurst-kingshill,bathurst-kingvaughan,bathurst,kingshill,southbound,bathurst,king-vaughan-rd,southbound,1.2,2023-04-14_00:30:10,49,88,1,king-township,richmond-hill,293,256
davis-dufferin,davis-bathurst,davis-dr,dufferin-st,eastbound,davis-dr,bathurst,eastbound,2.0,2023-04-14_00:30:10,92,78,2,king-township,newmarket,427,186
davis-keele,davis-dufferin,davis-dr,keele-st.,eastbound,davis-dr,dufferin-st,eastbound,2.2,2023-04-14_00:30:10,118,67,1,king-township,king-township,438,427
davis-keele,davis-bathurst,davis-dr,keele-st.,eastbound,davis-dr,bathurst,eastbound,4.2,2023-04-14_00:30:10,210,72,2,king-township,newmarket,438,186
davis-jane,highway9-400nb,davis-dr,jane-st,westbound,davis-dr,400nb-offramp,westbound,1.1,2023-04-14_00:30:10,61,65,1,king-township,king-township,237,333
davis-keele,davis-jane,davis-dr,keele-st.,westbound,davis-dr,jane-st,westbound,2.0,2023-04-14_00:30:10,75,96,1,king-township,king-township,438,237
lloydtown-highway27,highway27-mactaggart_parkheightstrail,highway-27,lloydtown-rd,southbound,highway-27,mactaggartdr/parkheightstrl,southbound,9.1,2023-04-14_00:30:10,404,81,1,king-township,king-township,336,338
highway9-400sb,highway9-400nb,highway-9,400sb-offramp,eastbound,highway-9,400nb-offramp,eastbound,0.35,2023-04-14_00:30:10,14,90,1,king-township,king-township,334,333
king-jane,jane-kingvaughan,jane-st,king-rd,southbound,jane-st,king-vaughan-rd,southbound,2.0,2023-04-14_00:30:10,96,75,4,king-township,vaughan,131,71
king-jane,keele-king,king-rd,jane-st,eastbound,king-rd,keele-st.,eastbound,2.2,2023-04-14_00:30:10,130,61,2,king-township,king-township,131,279
keele-king,king-dufferin,king-rd,keele-st.,eastbound,king-rd,dufferin-st,eastbound,1.9,2023-04-14_00:30:10,149,46,1,king-township,king-township,279,70
king-dufferin,king-bathurst,king-rd,dufferin-st,eastbound,king-rd,bathurst-st,eastbound,2.0,2023-04-14_00:30:10,99,73,1,king-township,king-township,70,278
king-jane,king-weston,king-rd,jane-st,westbound,king-rd,weston-rd,westbound,2.0,2023-04-14_00:30:10,101,71,6,king-township,king-township,131,55
king-dufferin,keele-king,king-rd,dufferin-st,westbound,king-rd,keele-st.,westbound,1.9,2023-04-14_00:30:10,128,53,1,king-township,king-township,70,279
king-400nb,king-weston,king-rd,400nb-offramp,westbound,king-rd,weston-rd,westbound,1.2,2023-04-14_00:30:10,81,53,2,king-township,king-township,326,55
king-jane,king-400nb,king-rd,jane-st,westbound,king-rd,400nb-offramp,westbound,0.85,2023-04-14_00:30:10,37,83,2,king-township,king-township,131,326
king-400sb,king-weston,king-rd,400sb-offramp,westbound,king-rd,weston-rd,westbound,0.8,2023-04-14_00:30:10,42,69,2,king-township,king-township,321,55
king-weston,king-highway27,king-rd,weston-rd,westbound,king-rd,highway-27,westbound,6.2,2023-04-14_00:30:10,297,75,1,king-township,king-township,55,337
lloydtown-weston,lloydtown-highway27,lloydtown-aurora-rd,weston-rd,westbound,lloydtown-aurora-rd,highway-27,westbound,6.5,2023-04-14_00:30:10,300,78,1,king-township,king-township,66,336
weston-kirby,king-weston,weston-rd,kirby-rd,northbound,weston-rd,king-rd,northbound,4.1,2023-04-14_00:30:10,204,72,2,vaughan,king-township,206,55
bathurst-kingvaughan,bathurst-kingshill,bathurst,king-vaughan-rd,northbound,bathurst,kingshill,northbound,1.2,2023-04-14_00:40:10,55,79,1,richmond-hill,king-township,256,293
bathurst-kingshill,bathurst-kingvaughan,bathurst,kingshill,southbound,bathurst,king-vaughan-rd,southbound,1.2,2023-04-14_00:40:10,61,71,1,king-township,richmond-hill,293,256
davis-dufferin,davis-bathurst,davis-dr,dufferin-st,eastbound,davis-dr,bathurst,eastbound,2.0,2023-04-14_00:40:10,91,79,2,king-township,newmarket,427,186
davis-keele,davis-dufferin,davis-dr,keele-st.,eastbound,davis-dr,dufferin-st,eastbound,2.2,2023-04-14_00:40:10,107,74,1,king-township,king-township,438,427
davis-jane,davis-keele,davis-dr,jane-st,eastbound,davis-dr,keele-st.,eastbound,2.0,2023-04-14_00:40:10,78,92,1,king-township,king-township,237,438
davis-keele,davis-bathurst,davis-dr,keele-st.,eastbound,davis-dr,bathurst,eastbound,4.2,2023-04-14_00:40:10,196,77,3,king-township,newmarket,438,186
davis-keele,davis-jane,davis-dr,keele-st.,westbound,davis-dr,jane-st,westbound,2.0,2023-04-14_00:40:10,77,94,2,king-township,king-township,438,237
king-jane,jane-kingvaughan,jane-st,king-rd,southbound,jane-st,king-vaughan-rd,southbound,2.0,2023-04-14_00:40:10,102,71,1,king-township,vaughan,131,71
keele-king,king-dufferin,king-rd,keele-st.,eastbound,king-rd,dufferin-st,eastbound,1.9,2023-04-14_00:40:10,154,44,1,king-township,king-township,279,70
king-dufferin,king-bathurst,king-rd,dufferin-st,eastbound,king-rd,bathurst-st,eastbound,2.0,2023-04-14_00:40:10,103,70,1,king-township,king-township,70,278
king-jane,king-weston,king-rd,jane-st,westbound,king-rd,weston-rd,westbound,2.0,2023-04-14_00:40:10,126,57,2,king-township,king-township,131,55
king-bathurst,king-dufferin,king-rd,bathurst-st,westbound,king-rd,dufferin-st,westbound,2.0,2023-04-14_00:40:10,93,77,1,king-township,king-township,278,70
king-weston,king-highway27,king-rd,weston-rd,westbound,king-rd,highway-27,westbound,6.2,2023-04-14_00:40:10,287,78,1,king-township,king-township,55,337
keele-15thsdrd,dufferin-15thsdrd,15th-sdrd,keele-st.,eastbound,15th-sdrd,dufferin-st,eastbound,2.0,2023-04-14_09:14:49,126,57,6,king-township,king-township,298,40
