origin_id,dest_id,origin_roadway,origin_cross_street,origin_direction,dest_roadway,dest_cross_street,dest_direction,segment_length_kilometers,timestamp,travel_time,speed_kph,summary_samples,origin_region,dest_region,origin_OBJECTID,dest_OBJECTID
bayview-mulock,gorham_water-prospect,bayview,mulock-dr,northbound,bayview,gorham-st/water-st,northbound,1.2,2023-04-14_00:30:10,92,47,1,newmarket,newmarket,161,10
leslie-davis,davis-harrywalker,davis-dr,leslie-st,eastbound,leslie-st,harry-walker-pkwy,eastbound,0.46,2023-04-14_00:30:10,27,61,1,newmarket,newmarket,224,378
davis-dufferin,davis-bathurst,davis-dr,dufferin-st,eastbound,davis-dr,bathurst,eastbound,2.0,2023-04-14_00:30:10,92,78,2,king-township,newmarket,427,186
davis-keele,davis-bathurst,davis-dr,keele-st.,eastbound,davis-dr,bathurst,eastbound,4.2,2023-04-14_00:30:10,210,72,2,king-township,newmarket,438,186
davis-bathurst,davis-crosslandgate_fordwilson,davis-dr,bathurst,eastbound,davis-dr,crossland-gate_ford-wilson,eastbound,0.8,2023-04-14_00:30:10,55,52,4,newmarket,newmarket,186,184
davis-crosslandgate_fordwilson,yonge-davis,davis-dr,crossland-gate_ford-wilson,eastbound,davis-dr,yonge-st,eastbound,1.4,2023-04-14_00:30:10,75,67,9,newmarket,newmarket,184,213
yonge-davis,davis-main,davis-dr,yonge-st,eastbound,davis-dr,main-st,eastbound,1.6,2023-04-14_00:30:10,149,39,10,newmarket,newmarket,213,212
yonge-davis,davis-longford_parkside,davis-dr,yonge-st,eastbound,davis-dr,longford-dr/parkside-dr,eastbound,0.75,2023-04-14_00:30:10,75,36,9,newmarket,newmarket,213,399
davis-longford_parkside,davis-main,davis-dr,longford-dr/parkside-dr,eastbound,davis-dr,main-st,eastbound,0.65,2023-04-14_00:30:10,66,35,9,newmarket,newmarket,399,212
davis-404sb,davis-harrywalker,davis-dr,404sb-offramp,westbound,davis-dr,harry-walker-pkwy,westboudn,0.3,2023-04-14_00:30:10,13,83,1,newmarket,newmarket,185,378
davis-harrywalker,leslie-davis,davis-dr,harry-walker-pkwy,westbound,davis-dr,leslie-st,westbound,0.46,2023-04-14_00:30:10,44,38,3,newmarket,newmarket,378,224
davis-crosslandgate_fordwilson,davis-bathurst,davis-dr,crossland-gate_ford-wilson,westbound,davis-dr,bathurst,westbound,0.8,2023-04-14_00:30:10,42,69,4,newmarket,newmarket,184,186
yonge-davis,davis-crosslandgate_fordwilson,davis-dr,yonge-st,westbound,davis-dr,crossland-gate_ford-wilson,westbound,1.4,2023-04-14_00:30:10,102,49,6,newmarket,newmarket,213,184
davis-main,yonge-davis,davis-dr,main-st,westbound,davis-dr,yonge-st,westbound,1.6,2023-04-14_00:30:10,190,30,10,newmarket,newmarket,212,213
davis-lundyslane_prospectst,davis-main,davis-dr,lundys-lane_prospect-st,westbound,davis-dr,main-st,westbound,0.6,2023-04-14_00:30:10,48,45,1,newmarket,newmarket,226,212
davis-longford_parkside,yonge-davis,davis-dr,longford-dr/parkside-dr,westbound,davis-dr,yonge-st,westbound,0.75,2023-04-14_00:30:10,88,31,12,newmarket,newmarket,399,213
davis-main,davis-longford_parkside,davis-dr,main-st,westbound,davis-dr,longford-dr/parkside-dr,westbound,0.65,2023-04-14_00:30:10,98,24,14,newmarket,newmarket,212,399
yonge-mulock,bayview-mulock,mulock-dr,yonge-st,eastbound,mulock-dr,bayview-ave,eastbound,2.0,2023-04-14_00:30:10,144,50,4,newmarket,newmarket,137,161
mulock-canepkwy,mulock-collegemanordre_fernbank,mulock-dr,cane-pkwy,eastbound,mulock-dr,college-manor-dre,eastbound,2.2,2023-04-14_00:30:10,141,56,2,newmarket,newmarket,261,260
mulock-collegemanordre_fernbank,mulock-harrywalker,mulock-dr,college-manor-dre,eastbound,mulock-dr,harry-walker-pkwy,eastbound,1.3,2023-04-14_00:30:10,82,57,2,newmarket,newmarket,260,389
yonge-mulock,mulock-canepkwy,mulock-dr,yonge-st,eastbound,mulock-dr,cane-pkwy,eastbound,1.0,2023-04-14_00:30:10,82,44,2,newmarket,newmarket,137,261
mulock-canepkwy,bayview-mulock,mulock-dr,cane-pkwy,eastbound,mulock-dr,bayview-ave,eastbound,1.0,2023-04-14_00:30:10,61,59,3,newmarket,newmarket,261,161
bayview-mulock,mulock-collegemanordre_fernbank,mulock-dr,bayview-ave,eastbound,mulock-dr,college-manor-dre,eastbound,1.2,2023-04-14_00:30:10,66,65,2,newmarket,newmarket,161,260
mulock-canepkwy,mulock-columbusway_doubletreelane,mulock-dr,cane-pkwy,westbound,mulock-dr,columbus-way,westbound,1.5,2023-04-14_00:30:10,146,37,1,newmarket,newmarket,261,269
mulock-404nb,mulock-harrywalker,mulock-dr,404nb-offramp,westbound,mulock-dr,harry-walker-pkwy,westbound,0.65,2023-04-14_00:30:10,53,44,3,whitchurch-stouffville,newmarket,345,389
yonge-mulock,mulock-columbusway_doubletreelane,mulock-dr,yonge-st,westbound,mulock-dr,columbus-way,westbound,0.45,2023-04-14_00:30:10,55,29,1,newmarket,newmarket,137,269
bayview-mulock,mulock-canepkwy,mulock-dr,bayview-ave,westbound,mulock-dr,cane-pkwy,westbound,1.0,2023-04-14_00:30:10,61,59,2,newmarket,newmarket,161,261
