origin_id,dest_id,origin_roadway,origin_cross_street,origin_direction,dest_roadway,dest_cross_street,dest_direction,segment_length_kilometers,timestamp,travel_time,speed_kph,summary_samples,origin_region,dest_region,origin_OBJECTID,dest_OBJECTID
16th-elm,bview-16th,16th-ave,elm,eastbound,16th-ave,bayview,eastbound,0.9,2023-04-14_00:30:10,84,39,1,richmond-hill,richmond-hill,436,97
bhurst-carville/ruthfrd,16th-avenue,16th-ave,bathurst,eastbound,16th-ave,avenue,eastbound,1.1,2023-04-14_00:30:10,104,38,2,vaughan,richmond-hill,24,26
bview-16th,16th-spadina/valleymede,16th-ave,bayview,eastbound,16th-ave,spadina,eastbound,1.2,2023-04-14_00:30:10,87,50,2,richmond-hill,richmond-hill,97,96
16th-404sbr,16th-wdbine,16th-ave,404sb-offramp,eastbound,16th-ave,woodbine-ave,eastbound,1.2,2023-04-14_00:30:10,92,47,3,richmond-hill,markham,104,90
bview-16th,16th-elm,16th-ave,bayview,westbound,16th-ave,elm,westbound,0.9,2023-04-14_00:30:10,90,36,1,richmond-hill,richmond-hill,97,436
16th-elm,16th-yonge,16th-ave,elm,westbound,16th-ave,yonge-st,westbound,1.0,2023-04-14_00:30:10,56,64,1,richmond-hill,richmond-hill,436,25
16th-leslie,16th-spadina/valleymede,16th-ave,leslie-st,westbound,16th-ave,spadina,westbound,0.8,2023-04-14_00:30:10,44,65,1,richmond-hill,richmond-hill,95,96
16th-404sbr,16th-leslie,16th-ave,404sb-offramp,westbound,16th-ave,leslie-st,westbound,0.85,2023-04-14_00:30:10,54,57,1,richmond-hill,richmond-hill,104,95
16th-leslie,bview-16th,16th-ave,leslie-st,westbound,16th-ave,bayview,westbound,2.0,2023-04-14_00:30:10,125,58,1,richmond-hill,richmond-hill,95,97
leslie-19th,woodbine-19th,19th-ave,leslie,eastbound,19th-ave,woodbine,eastbound,2.0,2023-04-14_00:30:10,125,58,1,richmond-hill,markham,423,417
bhurst-elginmillse,bathurst-shaftsbury_woodland,bathurst,elgin-mills-rd,northbound,bathurst,shaftsbury/woodland,northbound,1.1,2023-04-14_00:30:10,67,59,1,richmond-hill,richmond-hill,116,294
bathurst-shaftsbury_woodland,gamble_kirby-bathurst,bathurst,shaftsbury/woodland,northbound,bathurst,gamble_kirby,northbound,0.9,2023-04-14_00:30:10,50,65,1,richmond-hill,richmond-hill,294,285
bathurst-kingvaughan,bathurst-kingshill,bathurst,king-vaughan-rd,northbound,bathurst,kingshill,northbound,1.2,2023-04-14_00:30:10,50,86,1,richmond-hill,king-township,256,293
bathurst-humberland,bathurst-bloomington,bathurst,humberland,northbound,bathurst,bloomington-rd,northbound,0.75,2023-04-14_00:30:10,33,82,1,richmond-hill,aurora,275,291
bhurst-carville/ruthfrd,bhurst-weldrickw,bathurst,carville/ruthford-rd,northbound,bathurst,weldrick-rd-w,northbound,0.812,2023-04-14_00:30:10,100,29,1,vaughan,richmond-hill,24,231
bhurst-majormacw,bhurst-mill,bathurst,major-mackenzie-drw,northbound,bathurst,mill-st,northbound,0.825,2023-04-14_00:30:10,45,66,3,richmond-hill,richmond-hill,165,1
bhurst-mill,bhurst-elginmillse,bathurst,mill-st,northbound,bathurst,elgin-mills-e,northbound,1.234,2023-04-14_00:30:10,75,59,1,richmond-hill,richmond-hill,1,116
bathurst-shaftsbury_woodland,bhurst-elginmillse,bathurst,shaftsbury/woodland,southbound,bathurst,elgin-mills-e,southbound,1.1,2023-04-14_00:30:10,67,59,1,richmond-hill,richmond-hill,294,116
gamble_kirby-bathurst,bathurst-shaftsbury_woodland,bathurst,gamble_kirby,southbound,bathurst,shaftsbury/woodland,southbound,0.9,2023-04-14_00:30:10,74,44,2,richmond-hill,richmond-hill,285,294
bathurst-kingvaughan,bathurst-towerhill,bathurst,king-vaughan-rd,southbound,bathurst,tower-hill-rd,southbound,0.85,2023-04-14_00:30:10,53,58,1,richmond-hill,richmond-hill,256,296
bathurst-kingshill,bathurst-kingvaughan,bathurst,kingshill,southbound,bathurst,king-vaughan-rd,southbound,1.2,2023-04-14_00:30:10,49,88,1,king-township,richmond-hill,293,256
bayview-subrisco,19th-bayview,bayview,subrisco-ave,northbound,bayview,19th-ave,northbound,0.8,2023-04-14_00:30:10,51,56,2,richmond-hill,richmond-hill,424,197
bview-elginmillse,bayview-subrisco,bayview,elgin-mills-e,northbound,bayview,subrisco-ave,northbound,1.2,2023-04-14_00:30:10,77,56,2,richmond-hill,richmond-hill,230,424
bview-bantry,bview-16th,bayview,bantry-ave,northbound,bayview,16th-ave,northbound,1.105,2023-04-14_00:30:10,62,64,2,richmond-hill,richmond-hill,249,97
bview-weldricke,bview-majormace,bayview,weldrick-rd-e,northbound,bayview,major-mackenzie-dre,northbound,0.816,2023-04-14_00:30:10,46,64,1,richmond-hill,richmond-hill,208,154
bview-majormace,bview-crosby,bayview,major-mackenzie-dre,northbound,bayview,crosby-ave,northbound,1.034,2023-04-14_00:30:10,93,40,1,richmond-hill,richmond-hill,154,207
bview-crosby,bview-elginmillse,bayview,crosby-ave,northbound,bayview,elgin-mills-e,northbound,0.952,2023-04-14_00:30:10,55,62,2,richmond-hill,richmond-hill,207,230
bview-elginmillse,19th-bayview,bayview,elgin-mills-e,northbound,bayview,19th-ave,northbound,2.0,2023-04-14_00:30:10,141,51,1,richmond-hill,richmond-hill,230,197
stouffville-bayview,bayview-balliol_oldcolony,bayview,stouffville-rd,northbound,bayview,balliol-ave/old-colonyrd,northbound,1.0,2023-04-14_00:30:10,62,58,7,richmond-hill,richmond-hill,164,204
bayview-subrisco,bview-elginmillse,bayview,subrisco-ave,southbound,bayview,elgin-mills-e,southbound,1.2,2023-04-14_00:30:10,89,49,1,richmond-hill,richmond-hill,424,230
bview-16th,bview-bantry,bayview,16th-ave,southbound,bayview,bantry-ave,southbound,1.105,2023-04-14_00:30:10,72,55,1,richmond-hill,richmond-hill,97,249
stouffville-bayview,19th-bayview,bayview,stouffville-rd,southbound,bayview,19th-ave,southbound,2.2,2023-04-14_00:30:10,123,64,1,richmond-hill,richmond-hill,164,197
bathurst-bloomington,bloomington-bloomfieldtrail,bloomington-rd,bathurst-st,eastbound,bloomington-rd,bloomfield-trail,eastbound,1.2,2023-04-14_00:30:10,64,68,1,aurora,richmond-hill,291,288
bayview-bloomington,leslie-bloomington,bloomington-rd,bayview-ave,eastbound,bloomington-rd,leslie-st,eastbound,2.1,2023-04-14_00:30:10,102,74,1,richmond-hill,richmond-hill,112,111
leslie-elginmills,elginmills-404sb,elgin-mills-rd,leslie-st,eastbound,elgin-mills-rd,404sb-offramp,eastbound,0.7,2023-04-14_00:30:10,35,72,1,richmond-hill,richmond-hill,124,301
bview-elginmillse,yonge-elginmills,elgin-mills-rd,bayview,westbound,elgin-mills-rd,yonge-st,westbound,1.8,2023-04-14_00:30:10,139,47,1,richmond-hill,richmond-hill,230,284
yonge-elginmills,bhurst-elginmillse,elgin-mills-rd,yonge-st,westbound,elgin-mills-rd,bathurst,westbound,2.1,2023-04-14_00:30:10,616,12,1,richmond-hill,richmond-hill,284,116
elginmills-404nb,elginmills-404sb,elgin-mills-rd,404nb-offramp,westbound,elgin-mills-rd,404sb-offramp,westbound,0.5,2023-04-14_00:30:10,57,32,1,richmond-hill,richmond-hill,300,301
bview-elginmillse,elginmills-newkirk,elgin-mills-rd,bayview,westbound,elgin-mills-rd,newkirk-rd,westbound,0.95,2023-04-14_00:30:10,92,37,1,richmond-hill,richmond-hill,230,391
hwy7-hwy404sb,hwy7-woodbine,highway-7,404sb,eastbound,highway-7,woodbine-ave,eastbound,1.0,2023-04-14_00:30:10,81,44,4,richmond-hill,markham,175,150
hwy7-leslie,hwy7-hwy404sb,highway-7,leslie-st,eastbound,highway-7,404sb,eastbound,1.0,2023-04-14_00:30:10,67,54,39,markham,richmond-hill,178,175
hwy7-bayviewconn,hwy7-valleymede,highway-7,bayview,eastbound,highway-7,valleymede,eastbound,1.5,2023-04-14_00:30:10,91,59,8,richmond-hill,markham,179,176
hwy7-yonge-cxn,hwy7-bayviewconn,highway-7,yonge-st,eastbound,highway-7,bayview,eastbound,1.3,2023-04-14_00:30:10,73,64,34,richmond-hill,richmond-hill,180,179
hwy7-hunterspoint,hwy7-yonge-cxn,highway-7,hunterspoint,eastbound,highway-7,yonge-st,eastbound,1.4,2023-04-14_00:30:10,74,68,6,vaughan,richmond-hill,181,180
hwy7-hwy404sb,hwy7-leslie,highway-7,404sb,westbound,highway-7,leslie-st,westbound,1.0,2023-04-14_00:30:10,64,56,18,richmond-hill,markham,175,178
hwy7-valleymede,hwy7-bayviewconn,highway-7,valleymede,westbound,highway-7,bayview,westbound,1.5,2023-04-14_00:30:10,82,66,2,markham,richmond-hill,176,179
hwy7-bayviewconn,hwy7-yonge-cxn,highway-7,bayview,westbound,highway-7,yonge-st,westbound,1.3,2023-04-14_00:30:10,87,54,19,richmond-hill,richmond-hill,179,180
hwy7-yonge-cxn,hwy7-hunterspoint,highway-7,yonge-st,westbound,highway-7,hunterspoint,westbound,1.4,2023-04-14_00:30:10,52,97,1,richmond-hill,vaughan,180,181
leslie-headford_orlando,leslie-majormackenzie,leslie,headford_orlando,northbound,leslie,major-mackenzie-dre,northbound,1.3,2023-04-14_00:30:10,74,63,1,richmond-hill,richmond-hill,19,151
leslie-stouffvillee,leslie-stouffvillew,leslie,stouffville-rd,southbound,leslie,stouffville-rd-w,southbound,0.25,2023-04-14_00:30:10,12,75,2,richmond-hill,richmond-hill,369,163
majormackenzie-harding_trench,yonge-majormackenzie,major-mackenzie-dr,harding-blvd_trench-st,eastbound,major-mackenzie-dr,yonge-st,eastbound,1.0,2023-04-14_00:30:10,76,47,3,richmond-hill,richmond-hill,122,193
bview-majormace,majormackenzie-boaketrail_shirley,major-mackenzie-dr,bayview,eastbound,major-mackenzie-dr,boake-trail_shirley-dr,eastbound,1.2,2023-04-14_00:30:10,57,76,1,richmond-hill,richmond-hill,154,120
majormackenzie-boaketrail_shirley,leslie-majormackenzie,major-mackenzie-dr,boake-trail_shirley-dr,eastbound,major-mackenzie-dr,leslie-st,eastbound,0.8,2023-04-14_00:30:10,85,34,1,richmond-hill,richmond-hill,120,151
