origin_id,dest_id,origin_roadway,origin_cross_street,origin_direction,dest_roadway,dest_cross_street,dest_direction,segment_length_kilometers,timestamp,travel_time,speed_kph,summary_samples,origin_region,dest_region,origin_OBJECTID,dest_OBJECTID
aurora-ramforest,aurora-warden,aurora-rd,ram-forest-rd,eastbound,aurora-rd,warden-ave,eastbound,1.35,2023-04-15_21:50:04,51,95,1,whitchurch-stouffville,whitchurch-stouffville,406,33
woodbine-aurora,aurora-ramforest,aurora-rd,woodbine-ave,eastbound,aurora-rd,ram-forest-rd,eastbound,0.77,2023-04-15_21:50:04,47,59,1,whitchurch-stouffville,whitchurch-stouffville,34,406
aurora-mccowan,highway48-aurora,aurora-rd,mccowan-rd,eastbound,aurora-rd,highway-48,eastbound,2.0,2023-04-15_21:50:04,118,61,1,whitchurch-stouffville,whitchurch-stouffville,416,268
aurora-404nb,aurora-404sb,aurora-rd,404nb-offramp,westbound,aurora-rd,404sb-offramp,westbound,0.37,2023-04-15_21:50:04,44,30,3,whitchurch-stouffville,aurora,325,324
woodbine-aurora,aurora-404nb,aurora-rd,woodbine-ave,westbound,aurora-rd,404nb-offramp,westbound,0.62,2023-04-15_21:50:04,43,52,1,whitchurch-stouffville,whitchurch-stouffville,34,325
aurora-warden,aurora-ramforest,aurora-rd,warden-ave,westbound,aurora-rd,ram-forest-rd,westbound,1.35,2023-04-15_21:50:04,69,70,1,whitchurch-stouffville,whitchurch-stouffville,33,406
highway48-aurora,aurora-mccowan,aurora-rd,highway-48,westbound,aurora-rd,mccowan-rd,westbound,2.0,2023-04-15_21:50:04,106,68,2,whitchurch-stouffville,whitchurch-stouffville,268,416
aurora-warden,woodbine-aurora,aurora-rd,warden-ave,westbound,aurora-rd,woodbine-ave,westbound,2.1,2023-04-15_21:50:04,116,65,1,whitchurch-stouffville,whitchurch-stouffville,33,34
woodbine-aurora,leslie-wellington,aurora-rd,woodbine-ave,westbound,aurora-rd,leslie-st,westbound,2.0,2023-04-15_21:50:04,131,55,2,whitchurch-stouffville,aurora,34,119
bloomington-404nb,woodbine-bloomington,bloomington-rd,404nb-offramp,eastbound,bloomington-rd,woodbine-ave,eastbound,0.35,2023-04-15_21:50:04,26,48,2,whitchurch-stouffville,whitchurch-stouffville,408,138
bloomington-ninthline,bloomington-yorkdurhamline,bloomington-rd,ninth-line,eastbound,bloomington-rd,york-durham-line,eastbound,2.3,2023-04-15_21:50:04,120,69,1,whitchurch-stouffville,whitchurch-stouffville,405,404
woodbine-bloomington,bloomington-warden,bloomington-rd,woodbine-ave,eastbound,bloomington-rd,warden-ave,eastbound,2.1,2023-04-15_21:50:04,97,78,1,whitchurch-stouffville,whitchurch-stouffville,138,47
bloomington-404nb,bloomington-404sb,bloomington-rd,404nb-offramp,westbound,bloomington-rd,404sb-offramp,westbound,0.4,2023-04-15_21:50:04,58,25,5,whitchurch-stouffville,richmond-hill,408,407
woodbine-bloomington,bloomington-404nb,bloomington-rd,woodbine-ave,westbound,bloomington-rd,404nb-offramp,westbound,0.35,2023-04-15_21:50:04,21,60,2,whitchurch-stouffville,whitchurch-stouffville,138,408
bloomington-yorkdurhamline,bloomington-ninthline,bloomington-rd,york-durham-line,westbound,bloomington-rd,ninth-line,westbound,2.3,2023-04-15_21:50:04,105,79,1,whitchurch-stouffville,whitchurch-stouffville,404,405
bloomington-warden,woodbine-bloomington,bloomington-rd,warden-ave,westbound,bloomington-rd,woodbine-ave,westbound,2.1,2023-04-15_21:50:04,107,71,1,whitchurch-stouffville,whitchurch-stouffville,47,138
davis-404sb,davis-404nb,davis-dr,404sb-offramp,eastbound,davis-dr,404nb-offramp,eastbound,0.5,2023-04-15_21:50:04,52,35,1,newmarket,whitchurch-stouffville,185,140
davis-404nb,woodbine-davis,davis-dr,404nb-offramp,eastbound,davis-dr,woodbine-ave,eastbound,0.7,2023-04-15_21:50:04,54,47,1,whitchurch-stouffville,whitchurch-stouffville,140,139
davis-404nb,davis-404sb,davis-dr,404nb-offramp,westbound,davis-dr,404sb-offramp,westbound,0.5,2023-04-15_21:50:04,42,43,2,whitchurch-stouffville,newmarket,140,185
woodbine-davis,davis-404nb,davis-dr,woodbine-ave,westbound,davis-dr,404nb-offramp,westbound,0.7,2023-04-15_21:50:04,47,54,1,whitchurch-stouffville,whitchurch-stouffville,139,140
davis-warden,woodbine-davis,davis-dr,warden-ave,westbound,davis-dr,woodbine-ave,westbound,2.1,2023-04-15_21:50:04,91,83,2,whitchurch-stouffville,whitchurch-stouffville,157,139
highway48-vivian,highway48-davis,highway-48,vivian-rd,northbound,highway-48,davis-dr,northbound,2.1,2023-04-15_21:50:04,93,81,1,whitchurch-stouffville,whitchurch-stouffville,262,271
highway48-davis,highway48-herald,highway-48,davis-dr,northbound,highway-48,herald-rd,northbound,2.1,2023-04-15_21:50:04,86,88,1,whitchurch-stouffville,east-gwillimbury,271,292
hwy48-19th,highway48-hooverpark,highway-48,19th-ave,northbound,highway-48,hoover-park-dr,northbound,1.3,2023-04-15_21:50:04,71,66,2,markham,whitchurch-stouffville,418,168
highway48-stouffville,highway48-hooverpark,highway-48,stouffville-rd,southbound,highway-48,hoover-park-dr,southbound,0.8,2023-04-15_21:50:04,48,60,3,whitchurch-stouffville,whitchurch-stouffville,282,168
highway48-hooverpark,hwy48-19th,highway-48,hoover-park-dr,southbound,highway-48,19th-ave,southbound,1.3,2023-04-15_21:50:04,73,64,3,whitchurch-stouffville,markham,168,418
highway48-stouffville,ninthlines-main,main-st-stouffville,highway-48,eastbound,main-st-stouffville,ninth-line,eastbound,2.0,2023-04-15_21:50:04,166,43,1,whitchurch-stouffville,whitchurch-stouffville,282,353
highway48-stouffville,main-sandale_sandiford,main-st-stouffville,highway-48,eastbound,main-st-stouffville,sandale/sandiford-rd,eastbound,0.86,2023-04-15_21:50:04,86,36,1,whitchurch-stouffville,whitchurch-stouffville,282,409
ninthlines-main,main-market_mill,main-st-stouffville,ninth-line,eastbound,main-st-stouffville,mill-st/market-st,eastbound,0.83,2023-04-15_21:50:04,87,34,2,whitchurch-stouffville,whitchurch-stouffville,353,410
main-market_mill,main-tenthlines,main-st-stouffville,mill-st/market-st,eastbound,main-st-stouffville,tenth-line,eastbound,1.3,2023-04-15_21:50:04,108,43,2,whitchurch-stouffville,whitchurch-stouffville,410,411
main-sandale_sandiford,ninthlines-main,main-st-stouffville,sandale/sandiford-rd,eastbound,main-st-stouffville,ninth-line,eastbound,1.15,2023-04-15_21:50:04,93,45,1,whitchurch-stouffville,whitchurch-stouffville,409,353
stouffville-mccowan,mccowan-19th,mccowan-rd,stouffville-rd,southbound,mccowan-rd,19th-ave,southbound,2.2,2023-04-15_21:50:04,97,82,1,whitchurch-stouffville,markham,108,425
mulock-404nb,mulock-harrywalker,mulock-dr,404nb-offramp,westbound,mulock-dr,harry-walker-pkwy,westbound,0.65,2023-04-15_21:50:04,51,46,4,whitchurch-stouffville,newmarket,345,389
ninthline-19th,ninthline-hooverpark,ninth-line,19th-ave,northbound,ninth-line,hoover-park-dr,northbound,1.29,2023-04-15_21:50:04,103,45,3,markham,whitchurch-stouffville,395,354
ninthline-hooverpark,ninthlines-main,ninth-line,hoover-park-dr,northbound,ninth-line,main-st-stouffville,northbound,0.76,2023-04-15_21:50:04,53,52,1,whitchurch-stouffville,whitchurch-stouffville,354,353
stouffville-mccowan,highway48-stouffville,stouffville-rd,mccowan-rd,eastbound,stouffville-rd,highway-48,eastbound,1.9,2023-04-15_21:50:04,101,68,7,whitchurch-stouffville,whitchurch-stouffville,108,282
stouffville-404nb,woodbine-stouffville,stouffville-rd,404nb-offramp,eastbound,stouffville-rd,woodbine-ave,eastbound,0.7,2023-04-15_21:50:04,42,60,6,richmond-hill,whitchurch-stouffville,266,153
woodbine-stouffville,stouffville-warden,stouffville-rd,woodbine-ave,eastbound,stouffville-rd,warden-ave,eastbound,1.9,2023-04-15_21:50:04,86,80,6,whitchurch-stouffville,whitchurch-stouffville,153,152
stouffville-warden,kennedy-stouffville,stouffville-rd,warden-ave,eastbound,stouffville-rd,kennedy-rd,eastbound,2.4,2023-04-15_21:50:04,97,89,6,whitchurch-stouffville,whitchurch-stouffville,152,109
kennedy-stouffville,stouffville-mccowan,stouffville-rd,kennedy-rd,eastbound,stouffville-rd,mccowan-rd,eastbound,2.2,2023-04-15_21:50:04,96,83,4,whitchurch-stouffville,whitchurch-stouffville,109,108
highway48-stouffville,stouffville-mccowan,stouffville-rd,highway-48,westbound,stouffville-rd,mccowan-rd,westbound,1.9,2023-04-15_21:50:04,101,68,2,whitchurch-stouffville,whitchurch-stouffville,282,108
woodbine-stouffville,stouffville-404nb,stouffville-rd,woodbine-ave,westbound,stouffville-rd,404nb-offramp,westbound,0.7,2023-04-15_21:50:04,40,63,3,whitchurch-stouffville,richmond-hill,153,266
stouffville-warden,woodbine-stouffville,stouffville-rd,warden-ave,westbound,stouffville-rd,woodbine-ave,westbound,1.9,2023-04-15_21:50:04,92,74,3,whitchurch-stouffville,whitchurch-stouffville,152,153
kennedy-stouffville,stouffville-warden,stouffville-rd,kennedy-rd,westbound,stouffville-rd,warden-ave,westbound,2.4,2023-04-15_21:50:04,115,75,2,whitchurch-stouffville,whitchurch-stouffville,109,152
stouffville-mccowan,kennedy-stouffville,stouffville-rd,mccowan-rd,westbound,stouffville-rd,kennedy-rd,westbound,2.2,2023-04-15_21:50:04,116,68,3,whitchurch-stouffville,whitchurch-stouffville,108,109
woodbine-19th,woodbine-stouffville,woodbine,19th-ave,northbound,woodbine,stouffville-w,northbound,2.2,2023-04-15_21:50:04,119,67,1,markham,whitchurch-stouffville,417,153
woodbine-honda,woodbine-stouffville,woodbine,honda-blvd,northbound,woodbine,stouffville-w,northbound,3.7,2023-04-15_21:50:04,197,68,1,markham,whitchurch-stouffville,210,153
aurora-404nb,woodbine-aurora,aurora-rd,404nb-offramp,eastbound,aurora-rd,woodbine-ave,eastbound,0.62,2023-04-15_22:05:03,37,60,1,whitchurch-stouffville,whitchurch-stouffville,325,34
aurora-ramforest,aurora-warden,aurora-rd,ram-forest-rd,eastbound,aurora-rd,warden-ave,eastbound,1.35,2023-04-15_22:05:03,66,74,1,whitchurch-stouffville,whitchurch-stouffville,406,33
leslie-wellington,woodbine-aurora,aurora-rd,leslie-st,eastbound,aurora-rd,woodbine-ave,eastbound,2.0,2023-04-15_22:05:03,107,67,1,aurora,whitchurch-stouffville,119,34
aurora-404nb,aurora-404sb,aurora-rd,404nb-offramp,westbound,aurora-rd,404sb-offramp,westbound,0.37,2023-04-15_22:05:03,57,23,3,whitchurch-stouffville,aurora,325,324
bloomington-ninthline,bloomington-yorkdurhamline,bloomington-rd,ninth-line,eastbound,bloomington-rd,york-durham-line,eastbound,2.3,2023-04-15_22:05:03,113,73,2,whitchurch-stouffville,whitchurch-stouffville,405,404
woodbine-bloomington,bloomington-warden,bloomington-rd,woodbine-ave,eastbound,bloomington-rd,warden-ave,eastbound,2.1,2023-04-15_22:05:03,119,64,3,whitchurch-stouffville,whitchurch-stouffville,138,47
bloomington-warden,kennedy-bloomington,bloomington-rd,warden-ave,eastbound,bloomington-rd,kennedy-rd,eastbound,2.1,2023-04-15_22:05:03,92,82,1,whitchurch-stouffville,whitchurch-stouffville,47,81
bloomington-404nb,bloomington-404sb,bloomington-rd,404nb-offramp,westbound,bloomington-rd,404sb-offramp,westbound,0.4,2023-04-15_22:05:03,53,27,1,whitchurch-stouffville,richmond-hill,408,407
bloomington-ninthline,bloomington-mccowan,bloomington-rd,ninth-line,westbound,bloomington-rd,mccowan-rd,westbound,4.0,2023-04-15_22:05:03,180,80,1,whitchurch-stouffville,whitchurch-stouffville,405,80
bloomington-yorkdurhamline,bloomington-ninthline,bloomington-rd,york-durham-line,westbound,bloomington-rd,ninth-line,westbound,2.3,2023-04-15_22:05:03,101,82,1,whitchurch-stouffville,whitchurch-stouffville,404,405
davis-404sb,davis-404nb,davis-dr,404sb-offramp,eastbound,davis-dr,404nb-offramp,eastbound,0.5,2023-04-15_22:05:03,23,78,1,newmarket,whitchurch-stouffville,185,140
davis-404nb,woodbine-davis,davis-dr,404nb-offramp,eastbound,davis-dr,woodbine-ave,eastbound,0.7,2023-04-15_22:05:03,41,61,3,whitchurch-stouffville,whitchurch-stouffville,140,139
woodbine-davis,davis-warden,davis-dr,woodbine-ave,eastbound,davis-dr,warden-ave,eastbound,2.1,2023-04-15_22:05:03,96,79,1,whitchurch-stouffville,whitchurch-stouffville,139,157
highway48-davis,davis-warden,davis-dr,highway-48,westbound,davis-dr,warden-ave,westbound,6.1,2023-04-15_22:05:03,287,77,1,whitchurch-stouffville,whitchurch-stouffville,271,157
davis-404nb,davis-404sb,davis-dr,404nb-offramp,westbound,davis-dr,404sb-offramp,westbound,0.5,2023-04-15_22:05:03,49,37,1,whitchurch-stouffville,newmarket,140,185
